a b up down
000 000 000 000
001 000 001 000
000 001 000 001
001 001 000 000
010 000 010 001
011 000 010 000
010 001 010 000
011 001 011 000
000 010 001 010
001 010 000 010
000 011 000 010
001 011 000 011
010 010 000 000
011 010 001 000
010 011 000 001
011 011 000 000
100 000 100 010
101 000 101 010
100 001 100 011
101 001 100 010
110 000 100 001
111 000 100 000
110 001 100 000
111 001 101 000
100 010 101 000
101 010 100 000
100 011 100 000
101 011 100 001
110 010 110 000
111 010 110 001
110 011 111 000
111 011 110 000
000 100 010 100
001 100 011 100
000 101 010 101
001 101 010 100
010 100 000 101
011 100 000 100
010 101 000 100
011 101 001 100
000 110 001 100
001 110 000 100
000 111 000 100
001 111 000 101
010 110 000 110
011 110 000 111
010 111 001 110
011 111 000 110
100 100 000 000
101 100 001 000
100 101 000 001
101 101 000 000
110 100 000 011
111 100 000 010
110 101 000 010
111 101 001 010
100 110 011 000
101 110 010 000
100 111 010 000
101 111 010 001
110 110 000 000
111 110 000 001
110 111 001 000
111 111 000 000
